movieTitle,tomatometer_rating,audience_rating
Frozen,63.0,46.0
Prodigal Sons,87.0,79.0
The Ghost Writer,84.0,70.0
Repo Men,22.0,41.0
7 Days Les 7 jours du talion,80.0,68.0
Daddy Longlegs,78.0,52.0
Veer,40.0,47.0
Winters Bone,94.0,76.0
The Kids Are All Right,92.0,74.0
Lucky,60.0,39.0
High School,28.0,48.0
Stolen,0.0,39.0
The Killing Jar,0.0,36.0
La MISSION,50.0,72.0
Predators,64.0,52.0
Stonewall Uprising,84.0,76.0
The Oath,91.0,79.0
The Wild Hunt,82.0,74.0
Arthur,88.0,77.0
The Lottery,64.0,76.0
Assault on Precinct 13,98.0,80.0
Asylum,67.0,48.0
Attack of the 50 Foot Woman,75.0,20.0
Avenging Angel,33.0,25.0
The Aviator,20.0,41.0
The Awakening,0.0,22.0
Babes in Toyland,36.0,59.0
Bad Company,92.0,71.0
The Bad News Bears,97.0,80.0
The Bad Seed,63.0,83.0
Bang The Drum Slowly,92.0,62.0
Battleground,75.0,82.0
Beauty and The Beast La Belle et la bete,95.0,90.0
The Belles of St Trinians,67.0,70.0
1001 Grams,82.0,48.0
The Best of Times,31.0,43.0
Betrayed,42.0,52.0
The Big Brawl Battle Creek Brawl,67.0,44.0
Big Business,44.0,69.0
The Big Heat,100.0,90.0
The Big Sleep,97.0,91.0
The Big Sleep,67.0,26.0
Billy Budd,90.0,86.0
The Birds,95.0,83.0
Black Christmas,71.0,75.0
The Black Hole,38.0,45.0
The Black Pirate,100.0,68.0
Black Rain,50.0,55.0
Black Sunday,69.0,64.0
Black Widow,50.0,40.0
Blackmail,86.0,65.0
Blind Date,21.0,42.0
Blood and Sand,100.0,67.0
Blood Feast,38.0,44.0
Der Blaue Engel The Blue Angel,96.0,87.0
Bluebeard,100.0,38.0
The Border,80.0,53.0
Born Yesterday,97.0,86.0
The Boston Strangler,86.0,78.0
The Bounty,74.0,72.0
The Boys from Brazil,69.0,66.0
Brainstorm,55.0,56.0
Breakout,40.0,41.0
Brewsters Millions,35.0,55.0
Brians Song,92.0,82.0
Brief Encounter,91.0,91.0
Broken Arrow,89.0,70.0
Broken Blossoms,95.0,71.0
The Brotherhood,67.0,25.0
Bug,33.0,25.0
Burglar,27.0,39.0
Bus Stop,79.0,62.0
Butch Cassidy and the Sundance Kid,90.0,92.0
Bye Bye Birdie,89.0,66.0
Calamity Jane,71.0,87.0
Camelot,41.0,69.0
Camille,93.0,83.0
Cape Fear,100.0,86.0
Captain Blood,100.0,89.0
Captains Courageous,94.0,89.0
Carnival of Souls,86.0,73.0
Carny,50.0,52.0
Carrie,93.0,77.0
Casablanca,99.0,95.0
Casino Royale,25.0,34.0
The Cat and the Canary,94.0,74.0
Cat on a Hot Tin Roof,97.0,92.0
Cat People,95.0,73.0
Cat People,61.0,46.0
Caught,100.0,78.0
The Champ,36.0,82.0
Champion,93.0,74.0
Charade,94.0,92.0
Charlottes Web,77.0,67.0
The Chase,89.0,74.0
Checking Out,20.0,18.0
Children of the Corn,35.0,40.0
The Chosen,75.0,79.0
